instant,dteday,season,mnth,hr,holiday,weekday,workingday,weathersit,casual,registered,cnt,temperatura,sensacionTermica,humedad,velViento
23,2011-01-01,1,1,22,0,6,0,2,11,17,28,16.0,20.0,94.0,15.0
24,2011-01-01,1,1,23,0,6,0,2,15,24,39,19.0,23.0,88.0,20.0
25,2011-01-02,1,1,0,0,0,0,2,4,13,17,19.0,23.0,88.0,20.0
26,2011-01-02,1,1,1,0,0,0,2,1,16,17,18.0,22.0,94.0,17.0
27,2011-01-02,1,1,2,0,0,0,2,1,8,9,17.0,21.0,100.0,19.0
28,2011-01-02,1,1,3,0,0,0,2,2,4,6,19.0,23.0,94.0,13.0
29,2011-01-02,1,1,4,0,0,0,2,2,1,3,19.0,23.0,94.0,13.0
30,2011-01-02,1,1,6,0,0,0,3,0,2,2,17.0,21.0,77.0,20.0
31,2011-01-02,1,1,7,0,0,0,2,0,1,1,16.0,20.0,76.0,13.0
32,2011-01-02,1,1,8,0,0,0,3,0,8,8,16.0,20.0,71.0,15.0
33,2011-01-02,1,1,9,0,0,0,2,1,19,20,16.0,20.0,76.0,15.0
34,2011-01-02,1,1,10,0,0,0,2,7,46,53,15.0,17.0,81.0,15.0
35,2011-01-02,1,1,11,0,0,0,2,16,54,70,15.0,17.0,71.0,17.0
36,2011-01-02,1,1,12,0,0,0,2,20,73,93,15.0,17.0,66.0,20.0
37,2011-01-02,1,1,13,0,0,0,2,11,64,75,15.0,17.0,66.0,9.0
38,2011-01-02,1,1,14,0,0,0,3,4,55,59,15.0,17.0,76.0,13.0
39,2011-01-02,1,1,15,0,0,0,3,19,55,74,14.0,17.0,81.0,11.0
40,2011-01-02,1,1,16,0,0,0,3,9,67,76,14.0,17.0,71.0,11.0
41,2011-01-02,1,1,17,0,0,0,1,7,58,65,14.0,17.0,57.0,13.0
42,2011-01-02,1,1,18,0,0,0,2,10,43,53,15.0,17.0,46.0,22.0
43,2011-01-02,1,1,19,0,0,0,1,1,29,30,13.0,14.0,42.0,30.0
44,2011-01-02,1,1,20,0,0,0,1,5,17,22,12.0,14.0,39.0,24.0
45,2011-01-02,1,1,21,0,0,0,1,11,20,31,11.0,11.0,44.0,22.0
46,2011-01-02,1,1,22,0,0,0,1,0,9,9,10.0,11.0,44.0,20.0
47,2011-01-02,1,1,23,0,0,0,1,0,8,8,9.0,11.0,47.0,11.0
48,2011-01-03,1,1,0,0,1,1,1,0,5,5,9.0,10.0,44.0,24.0
49,2011-01-03,1,1,1,0,1,1,1,0,2,2,8.0,8.0,44.0,28.0
50,2011-01-03,1,1,4,0,1,1,1,0,1,1,7.0,7.0,47.0,26.0
51,2011-01-03,1,1,5,0,1,1,1,0,3,3,7.0,7.0,47.0,19.0
52,2011-01-03,1,1,6,0,1,1,1,0,30,30,6.0,5.0,50.0,26.0
53,2011-01-03,1,1,7,0,1,1,1,1,63,64,6.0,7.0,50.0,13.0
54,2011-01-03,1,1,8,0,1,1,1,1,153,154,6.0,6.0,50.0,19.0
55,2011-01-03,1,1,9,0,1,1,1,7,81,88,7.0,7.0,43.0,26.0
56,2011-01-03,1,1,10,0,1,1,1,11,33,44,7.0,8.0,43.0,17.0
57,2011-01-03,1,1,11,0,1,1,1,10,41,51,8.0,9.0,40.0,22.0
58,2011-01-03,1,1,12,0,1,1,1,13,48,61,9.0,11.0,35.0,20.0
59,2011-01-03,1,1,13,0,1,1,1,8,53,61,10.0,11.0,35.0,19.0
60,2011-01-03,1,1,14,0,1,1,1,11,66,77,11.0,12.0,30.0,19.0
61,2011-01-03,1,1,15,0,1,1,1,14,58,72,11.0,12.0,30.0,17.0
62,2011-01-03,1,1,16,0,1,1,1,9,67,76,11.0,12.0,30.0,17.0
63,2011-01-03,1,1,17,0,1,1,1,11,146,157,10.0,11.0,30.0,15.0
64,2011-01-03,1,1,18,0,1,1,1,9,148,157,10.0,13.0,32.0,7.0
65,2011-01-03,1,1,19,0,1,1,1,8,102,110,8.0,13.0,47.0,0.0
66,2011-01-03,1,1,20,0,1,1,1,3,49,52,8.0,11.0,47.0,7.0
67,2011-01-03,1,1,21,0,1,1,1,3,49,52,7.0,10.0,64.0,9.0
68,2011-01-03,1,1,22,0,1,1,1,0,20,20,6.0,8.0,69.0,9.0
69,2011-01-03,1,1,23,0,1,1,1,1,11,12,7.0,11.0,55.0,7.0
70,2011-01-04,1,1,0,0,2,1,1,0,5,5,7.0,9.0,55.0,7.0
71,2011-01-04,1,1,1,0,2,1,1,0,2,2,7.0,9.0,59.0,7.0
72,2011-01-04,1,1,2,0,2,1,1,0,1,1,6.0,8.0,63.0,9.0
73,2011-01-04,1,1,4,0,2,1,1,0,2,2,6.0,9.0,63.0,6.0
74,2011-01-04,1,1,5,0,2,1,1,0,4,4,5.0,8.0,68.0,7.0
75,2011-01-04,1,1,6,0,2,1,1,0,36,36,5.0,8.0,74.0,7.0
76,2011-01-04,1,1,7,0,2,1,1,2,92,94,5.0,8.0,74.0,9.0
77,2011-01-04,1,1,8,0,2,1,1,2,177,179,6.0,8.0,69.0,11.0
78,2011-01-04,1,1,9,0,2,1,1,2,98,100,7.0,8.0,64.0,15.0
79,2011-01-04,1,1,10,0,2,1,2,5,37,42,7.0,7.0,69.0,22.0
80,2011-01-04,1,1,11,0,2,1,1,7,50,57,9.0,11.0,51.0,20.0
81,2011-01-04,1,1,12,0,2,1,1,12,66,78,9.0,11.0,51.0,11.0
82,2011-01-04,1,1,13,0,2,1,1,18,79,97,10.0,11.0,56.0,13.0
83,2011-01-04,1,1,14,0,2,1,1,9,54,63,11.0,13.0,52.0,15.0
84,2011-01-04,1,1,15,0,2,1,1,17,48,65,11.0,14.0,52.0,17.0
85,2011-01-04,1,1,16,0,2,1,1,15,68,83,12.0,14.0,49.0,17.0
86,2011-01-04,1,1,17,0,2,1,1,10,202,212,11.0,14.0,48.0,15.0
87,2011-01-04,1,1,18,0,2,1,1,3,179,182,11.0,13.0,48.0,13.0
88,2011-01-04,1,1,19,0,2,1,1,2,110,112,10.0,13.0,48.0,7.0
89,2011-01-04,1,1,20,0,2,1,1,1,53,54,10.0,13.0,48.0,7.0
90,2011-01-04,1,1,21,0,2,1,1,0,48,48,9.0,14.0,64.0,0.0
91,2011-01-04,1,1,22,0,2,1,1,1,34,35,9.0,13.0,64.0,6.0
92,2011-01-04,1,1,23,0,2,1,1,2,9,11,8.0,11.0,69.0,6.0
93,2011-01-05,1,1,0,0,3,1,1,0,6,6,8.0,13.0,64.0,0.0
94,2011-01-05,1,1,1,0,3,1,1,0,6,6,7.0,10.0,74.0,6.0
95,2011-01-05,1,1,2,0,3,1,1,0,2,2,7.0,10.0,74.0,6.0
96,2011-01-05,1,1,4,0,3,1,1,0,2,2,10.0,11.0,48.0,15.0
97,2011-01-05,1,1,5,0,3,1,1,0,3,3,9.0,11.0,47.0,11.0
98,2011-01-05,1,1,6,0,3,1,1,0,33,33,8.0,10.0,47.0,15.0
99,2011-01-05,1,1,7,0,3,1,1,1,87,88,7.0,9.0,43.0,13.0
100,2011-01-05,1,1,8,0,3,1,1,3,192,195,8.0,9.0,40.0,20.0
101,2011-01-05,1,1,9,0,3,1,1,6,109,115,9.0,10.0,37.0,22.0
102,2011-01-05,1,1,10,0,3,1,1,4,53,57,9.0,10.0,37.0,22.0
103,2011-01-05,1,1,11,0,3,1,1,12,34,46,11.0,11.0,33.0,22.0
104,2011-01-05,1,1,12,0,3,1,1,5,74,79,11.0,11.0,33.0,22.0
105,2011-01-05,1,1,13,0,3,1,1,6,65,71,11.0,13.0,30.0,20.0
106,2011-01-05,1,1,14,0,3,1,1,10,52,62,12.0,14.0,28.0,13.0
107,2011-01-05,1,1,15,0,3,1,1,7,55,62,12.0,14.0,28.0,13.0
108,2011-01-05,1,1,16,0,3,1,1,4,85,89,12.0,16.0,28.0,6.0
109,2011-01-05,1,1,17,0,3,1,1,4,186,190,10.0,11.0,38.0,13.0
110,2011-01-05,1,1,18,0,3,1,1,3,166,169,10.0,12.0,38.0,9.0
111,2011-01-05,1,1,19,0,3,1,1,5,127,132,10.0,13.0,38.0,7.0
112,2011-01-05,1,1,20,0,3,1,1,7,82,89,9.0,11.0,47.0,11.0
113,2011-01-05,1,1,21,0,3,1,1,3,40,43,8.0,10.0,51.0,13.0
114,2011-01-05,1,1,22,0,3,1,1,1,41,42,7.0,10.0,55.0,9.0
115,2011-01-05,1,1,23,0,3,1,1,1,18,19,8.0,13.0,47.0,0.0
116,2011-01-06,1,1,0,0,4,1,1,0,11,11,7.0,12.0,55.0,0.0
117,2011-01-06,1,1,1,0,4,1,1,0,4,4,7.0,11.0,64.0,0.0
118,2011-01-06,1,1,2,0,4,1,1,0,2,2,7.0,11.0,64.0,0.0
119,2011-01-06,1,1,4,0,4,1,2,0,1,1,7.0,10.0,64.0,6.0
120,2011-01-06,1,1,5,0,4,1,2,0,4,4,6.0,9.0,69.0,6.0
121,2011-01-06,1,1,6,0,4,1,2,0,36,36,6.0,8.0,63.0,7.0
122,2011-01-06,1,1,7,0,4,1,2,0,95,95,7.0,11.0,59.0,0.0
123,2011-01-06,1,1,8,0,4,1,1,3,216,219,7.0,11.0,59.0,0.0
124,2011-01-06,1,1,9,0,4,1,2,6,116,122,7.0,12.0,51.0,0.0
125,2011-01-06,1,1,10,0,4,1,1,3,42,45,8.0,13.0,47.0,0.0
126,2011-01-06,1,1,11,0,4,1,1,2,57,59,9.0,13.0,44.0,6.0
127,2011-01-06,1,1,12,0,4,1,1,6,78,84,11.0,14.0,35.0,0.0
128,2011-01-06,1,1,13,0,4,1,1,12,55,67,11.0,14.0,35.0,7.0
129,2011-01-06,1,1,14,0,4,1,1,11,59,70,11.0,14.0,36.0,11.0
130,2011-01-06,1,1,15,0,4,1,1,8,54,62,11.0,14.0,36.0,0.0
131,2011-01-06,1,1,16,0,4,1,1,12,74,86,11.0,13.0,38.0,11.0
132,2011-01-06,1,1,17,0,4,1,1,9,163,172,9.0,11.0,51.0,11.0
133,2011-01-06,1,1,18,0,4,1,1,5,158,163,9.0,11.0,51.0,9.0
134,2011-01-06,1,1,19,0,4,1,1,3,109,112,9.0,13.0,55.0,6.0
135,2011-01-06,1,1,20,0,4,1,1,3,66,69,8.0,11.0,51.0,11.0
136,2011-01-06,1,1,21,0,4,1,2,0,48,48,9.0,11.0,55.0,15.0
137,2011-01-06,1,1,22,0,4,1,2,1,51,52,9.0,11.0,51.0,19.0
138,2011-01-06,1,1,23,0,4,1,2,4,19,23,8.0,10.0,59.0,13.0
139,2011-01-07,1,1,0,0,5,1,2,4,13,17,8.0,10.0,64.0,13.0
140,2011-01-07,1,1,1,0,5,1,2,2,5,7,8.0,10.0,69.0,15.0
141,2011-01-07,1,1,2,0,5,1,2,0,1,1,8.0,10.0,69.0,15.0
142,2011-01-07,1,1,4,0,5,1,2,0,1,1,8.0,11.0,69.0,9.0
143,2011-01-07,1,1,5,0,5,1,3,0,5,5,9.0,14.0,55.0,0.0
144,2011-01-07,1,1,6,0,5,1,2,8,26,34,8.0,13.0,69.0,0.0
145,2011-01-07,1,1,7,0,5,1,1,8,76,84,8.0,11.0,69.0,9.0
146,2011-01-07,1,1,8,0,5,1,1,20,190,210,8.0,10.0,51.0,17.0
147,2011-01-07,1,1,9,0,5,1,1,9,125,134,8.0,9.0,47.0,20.0
148,2011-01-07,1,1,10,0,5,1,1,16,47,63,9.0,10.0,37.0,22.0
149,2011-01-07,1,1,11,0,5,1,2,19,48,67,8.0,10.0,40.0,15.0
150,2011-01-07,1,1,12,0,5,1,2,9,50,59,8.0,10.0,37.0,17.0
151,2011-01-07,1,1,13,0,5,1,2,9,64,73,8.0,9.0,37.0,19.0
152,2011-01-07,1,1,14,0,5,1,2,7,43,50,8.0,10.0,40.0,17.0
153,2011-01-07,1,1,15,0,5,1,2,9,63,72,8.0,11.0,37.0,11.0
154,2011-01-07,1,1,16,0,5,1,2,5,82,87,8.0,11.0,37.0,11.0
155,2011-01-07,1,1,17,0,5,1,2,9,178,187,8.0,13.0,37.0,0.0
156,2011-01-07,1,1,18,0,5,1,1,7,116,123,8.0,11.0,40.0,6.0
157,2011-01-07,1,1,19,0,5,1,1,3,92,95,7.0,10.0,55.0,6.0
158,2011-01-07,1,1,20,0,5,1,1,1,50,51,7.0,11.0,47.0,7.0
159,2011-01-07,1,1,21,0,5,1,1,0,39,39,7.0,10.0,47.0,9.0
160,2011-01-07,1,1,22,0,5,1,2,2,34,36,7.0,10.0,43.0,11.0
161,2011-01-07,1,1,23,0,5,1,2,1,14,15,7.0,10.0,51.0,11.0
162,2011-01-08,1,1,0,0,6,0,2,1,24,25,7.0,10.0,51.0,11.0
163,2011-01-08,1,1,1,0,6,0,2,1,15,16,7.0,11.0,55.0,6.0
164,2011-01-08,1,1,2,0,6,0,2,3,13,16,7.0,12.0,55.0,0.0
165,2011-01-08,1,1,3,0,6,0,3,0,7,7,7.0,10.0,55.0,11.0
166,2011-01-08,1,1,4,0,6,0,3,0,1,1,7.0,10.0,55.0,11.0
167,2011-01-08,1,1,5,0,6,0,2,0,5,5,7.0,8.0,74.0,11.0
168,2011-01-08,1,1,6,0,6,0,2,0,2,2,7.0,8.0,74.0,11.0
169,2011-01-08,1,1,7,0,6,0,2,1,8,9,7.0,9.0,74.0,7.0
170,2011-01-08,1,1,8,0,6,0,3,0,15,15,7.0,9.0,93.0,7.0
171,2011-01-08,1,1,9,0,6,0,3,0,20,20,7.0,9.0,93.0,7.0
172,2011-01-08,1,1,10,0,6,0,2,5,56,61,7.0,10.0,80.0,11.0
173,2011-01-08,1,1,11,0,6,0,2,2,60,62,8.0,9.0,69.0,26.0
174,2011-01-08,1,1,12,0,6,0,2,8,90,98,8.0,9.0,59.0,24.0
175,2011-01-08,1,1,13,0,6,0,1,7,95,102,8.0,9.0,44.0,22.0
176,2011-01-08,1,1,14,0,6,0,1,12,83,95,8.0,8.0,32.0,33.0
177,2011-01-08,1,1,15,0,6,0,1,5,69,74,8.0,8.0,32.0,30.0
178,2011-01-08,1,1,16,0,6,0,1,8,68,76,7.0,7.0,29.0,30.0
179,2011-01-08,1,1,17,0,6,0,1,5,64,69,7.0,6.0,37.0,37.0
180,2011-01-08,1,1,18,0,6,0,1,3,52,55,6.0,6.0,39.0,20.0
181,2011-01-08,1,1,19,0,6,0,1,4,26,30,6.0,6.0,36.0,17.0
182,2011-01-08,1,1,20,0,6,0,1,0,28,28,5.0,6.0,36.0,17.0
183,2011-01-08,1,1,21,0,6,0,1,2,35,37,5.0,5.0,39.0,24.0
184,2011-01-08,1,1,22,0,6,0,1,1,33,34,5.0,5.0,36.0,26.0
185,2011-01-08,1,1,23,0,6,0,1,0,22,22,4.0,3.0,39.0,30.0
186,2011-01-09,1,1,0,0,0,0,1,1,24,25,4.0,4.0,42.0,26.0
187,2011-01-09,1,1,1,0,0,0,1,0,12,12,4.0,3.0,42.0,31.0
188,2011-01-09,1,1,2,0,0,0,1,0,11,11,4.0,3.0,46.0,31.0
189,2011-01-09,1,1,3,0,0,0,1,0,4,4,4.0,4.0,46.0,28.0
190,2011-01-09,1,1,4,0,0,0,1,0,1,1,3.0,5.0,53.0,13.0
191,2011-01-09,1,1,5,0,0,0,1,0,1,1,3.0,5.0,53.0,13.0
192,2011-01-09,1,1,6,0,0,0,1,0,1,1,4.0,5.0,49.0,19.0
193,2011-01-09,1,1,7,0,0,0,1,1,5,6,3.0,5.0,53.0,13.0
194,2011-01-09,1,1,8,0,0,0,1,0,10,10,4.0,5.0,49.0,19.0
195,2011-01-09,1,1,9,0,0,0,1,0,19,19,5.0,4.0,46.0,35.0
196,2011-01-09,1,1,10,0,0,0,1,0,49,49,6.0,5.0,43.0,26.0
197,2011-01-09,1,1,11,0,0,0,1,2,47,49,7.0,6.0,40.0,35.0
198,2011-01-09,1,1,12,0,0,0,1,4,79,83,7.0,7.0,37.0,30.0
199,2011-01-09,1,1,13,0,0,0,1,6,69,75,8.0,8.0,34.0,30.0
200,2011-01-09,1,1,14,0,0,0,1,8,64,72,9.0,9.0,32.0,31.0
201,2011-01-09,1,1,15,0,0,0,1,5,77,82,9.0,10.0,35.0,24.0
202,2011-01-09,1,1,16,0,0,0,1,13,79,92,8.0,8.0,34.0,30.0
203,2011-01-09,1,1,17,0,0,0,1,3,59,62,7.0,8.0,37.0,26.0
204,2011-01-09,1,1,18,0,0,0,1,4,44,48,7.0,7.0,40.0,22.0
205,2011-01-09,1,1,19,0,0,0,1,1,40,41,7.0,7.0,43.0,22.0
206,2011-01-09,1,1,20,0,0,0,1,0,38,38,6.0,6.0,46.0,17.0
207,2011-01-09,1,1,21,0,0,0,1,1,19,20,6.0,5.0,46.0,28.0
208,2011-01-09,1,1,22,0,0,0,1,5,10,15,6.0,6.0,46.0,20.0
209,2011-01-09,1,1,23,0,0,0,1,0,6,6,5.0,7.0,50.0,13.0
210,2011-01-10,1,1,0,0,1,1,1,2,3,5,5.0,6.0,50.0,19.0
211,2011-01-10,1,1,1,0,1,1,1,1,0,1,5.0,6.0,50.0,19.0
212,2011-01-10,1,1,2,0,1,1,1,0,3,3,5.0,6.0,50.0,15.0
213,2011-01-10,1,1,3,0,1,1,1,0,1,1,5.0,6.0,50.0,15.0
214,2011-01-10,1,1,4,0,1,1,1,1,2,3,4.0,6.0,54.0,9.0
215,2011-01-10,1,1,5,0,1,1,1,0,3,3,4.0,5.0,54.0,17.0
216,2011-01-10,1,1,6,0,1,1,1,0,31,31,5.0,6.0,50.0,19.0
217,2011-01-10,1,1,7,0,1,1,1,2,75,77,5.0,6.0,50.0,15.0
218,2011-01-10,1,1,8,0,1,1,2,4,184,188,5.0,6.0,50.0,19.0
219,2011-01-10,1,1,9,0,1,1,2,2,92,94,6.0,6.0,50.0,17.0
220,2011-01-10,1,1,10,0,1,1,2,0,31,31,6.0,6.0,50.0,20.0
221,2011-01-10,1,1,11,0,1,1,2,2,28,30,7.0,7.0,47.0,19.0
222,2011-01-10,1,1,12,0,1,1,2,5,47,52,8.0,9.0,40.0,19.0
223,2011-01-10,1,1,13,0,1,1,2,4,50,54,8.0,9.0,40.0,19.0
224,2011-01-10,1,1,14,0,1,1,2,0,47,47,8.0,10.0,40.0,15.0
225,2011-01-10,1,1,15,0,1,1,2,2,43,45,8.0,10.0,40.0,15.0
226,2011-01-10,1,1,16,0,1,1,1,4,70,74,8.0,11.0,40.0,9.0
227,2011-01-10,1,1,17,0,1,1,1,4,174,178,8.0,11.0,40.0,7.0
228,2011-01-10,1,1,18,0,1,1,1,1,154,155,8.0,10.0,40.0,15.0
229,2011-01-10,1,1,19,0,1,1,1,3,92,95,7.0,8.0,47.0,11.0
230,2011-01-10,1,1,20,0,1,1,1,1,73,74,7.0,8.0,50.0,11.0
231,2011-01-10,1,1,21,0,1,1,1,1,37,38,6.0,7.0,59.0,13.0
232,2011-01-10,1,1,22,0,1,1,1,2,22,24,6.0,8.0,59.0,11.0
233,2011-01-10,1,1,23,0,1,1,1,0,18,18,6.0,8.0,59.0,11.0
234,2011-01-11,1,1,0,0,2,1,1,2,10,12,6.0,8.0,59.0,7.0
235,2011-01-11,1,1,1,0,2,1,1,0,3,3,6.0,8.0,59.0,11.0
236,2011-01-11,1,1,2,0,2,1,2,0,3,3,7.0,8.0,55.0,13.0
237,2011-01-11,1,1,5,0,2,1,2,0,6,6,7.0,9.0,55.0,9.0
238,2011-01-11,1,1,6,0,2,1,2,0,27,27,7.0,9.0,55.0,9.0
239,2011-01-11,1,1,7,0,2,1,2,2,97,99,7.0,11.0,55.0,0.0
240,2011-01-11,1,1,8,0,2,1,2,3,214,217,7.0,11.0,51.0,6.0
241,2011-01-11,1,1,9,0,2,1,2,3,127,130,7.0,10.0,51.0,11.0
242,2011-01-11,1,1,10,0,2,1,2,3,51,54,8.0,11.0,51.0,11.0
243,2011-01-11,1,1,11,0,2,1,2,4,31,35,8.0,11.0,47.0,9.0
244,2011-01-11,1,1,12,0,2,1,2,2,55,57,8.0,11.0,51.0,7.0
245,2011-01-11,1,1,13,0,2,1,2,6,46,52,8.0,11.0,59.0,6.0
246,2011-01-11,1,1,14,0,2,1,2,3,60,63,8.0,11.0,59.0,6.0
247,2011-01-11,1,1,15,0,2,1,2,2,45,47,7.0,10.0,80.0,6.0
248,2011-01-11,1,1,16,0,2,1,2,4,72,76,7.0,8.0,86.0,15.0
249,2011-01-11,1,1,17,0,2,1,2,6,130,136,7.0,8.0,86.0,15.0
250,2011-01-11,1,1,18,0,2,1,3,1,94,95,7.0,9.0,93.0,7.0
251,2011-01-11,1,1,19,0,2,1,3,0,51,51,7.0,11.0,93.0,0.0
252,2011-01-11,1,1,20,0,2,1,3,0,32,32,7.0,8.0,93.0,13.0
253,2011-01-11,1,1,21,0,2,1,3,0,20,20,7.0,10.0,86.0,6.0
254,2011-01-11,1,1,22,0,2,1,3,1,28,29,7.0,9.0,93.0,7.0
255,2011-01-11,1,1,23,0,2,1,3,1,18,19,7.0,10.0,93.0,6.0
256,2011-01-12,1,1,0,0,3,1,2,0,7,7,7.0,10.0,86.0,6.0
257,2011-01-12,1,1,1,0,3,1,2,0,6,6,7.0,9.0,86.0,7.0
258,2011-01-12,1,1,2,0,3,1,1,0,1,1,6.0,8.0,86.0,9.0
259,2011-01-12,1,1,5,0,3,1,1,0,5,5,6.0,8.0,86.0,11.0
260,2011-01-12,1,1,6,0,3,1,1,0,16,16,5.0,8.0,93.0,9.0
261,2011-01-12,1,1,7,0,3,1,1,0,54,54,6.0,8.0,69.0,9.0
262,2011-01-12,1,1,8,0,3,1,1,3,125,128,7.0,8.0,59.0,11.0
263,2011-01-12,1,1,9,0,3,1,1,3,78,81,7.0,7.0,59.0,22.0
264,2011-01-12,1,1,10,0,3,1,1,0,39,39,7.0,9.0,55.0,15.0
265,2011-01-12,1,1,11,0,3,1,1,3,32,35,8.0,9.0,51.0,26.0
266,2011-01-12,1,1,12,0,3,1,1,3,52,55,8.0,8.0,47.0,39.0
267,2011-01-12,1,1,13,0,3,1,1,0,49,49,9.0,10.0,44.0,24.0
268,2011-01-12,1,1,14,0,3,1,1,0,44,44,8.0,9.0,47.0,22.0
269,2011-01-12,1,1,15,0,3,1,1,1,48,49,8.0,8.0,47.0,28.0
270,2011-01-12,1,1,16,0,3,1,1,5,63,68,9.0,10.0,44.0,22.0
271,2011-01-12,1,1,17,0,3,1,1,0,139,139,8.0,9.0,47.0,24.0
272,2011-01-12,1,1,18,0,3,1,1,2,135,137,8.0,8.0,47.0,35.0
273,2011-01-12,1,1,19,0,3,1,1,1,82,83,7.0,8.0,47.0,28.0
274,2011-01-12,1,1,20,0,3,1,1,2,54,56,7.0,7.0,50.0,22.0
275,2011-01-12,1,1,21,0,3,1,1,0,57,57,7.0,7.0,55.0,22.0
276,2011-01-12,1,1,22,0,3,1,1,1,32,33,7.0,6.0,55.0,30.0
277,2011-01-12,1,1,23,0,3,1,1,1,19,20,6.0,5.0,59.0,28.0
278,2011-01-13,1,1,0,0,4,1,1,1,6,7,6.0,6.0,59.0,19.0
279,2011-01-13,1,1,1,0,4,1,1,0,2,2,6.0,6.0,50.0,19.0
280,2011-01-13,1,1,2,0,4,1,1,0,2,2,6.0,6.0,50.0,24.0
281,2011-01-13,1,1,3,0,4,1,1,0,3,3,6.0,6.0,50.0,22.0
282,2011-01-13,1,1,4,0,4,1,1,0,4,4,6.0,6.0,50.0,17.0
283,2011-01-13,1,1,5,0,4,1,1,0,3,3,6.0,6.0,50.0,20.0
284,2011-01-13,1,1,6,0,4,1,1,0,28,28,5.0,8.0,54.0,9.0
285,2011-01-13,1,1,7,0,4,1,1,0,72,72,5.0,8.0,54.0,9.0
286,2011-01-13,1,1,8,0,4,1,1,5,197,202,6.0,7.0,50.0,13.0
287,2011-01-13,1,1,9,0,4,1,1,2,137,139,6.0,6.0,50.0,22.0
288,2011-01-13,1,1,10,0,4,1,2,2,36,38,7.0,7.0,50.0,24.0
289,2011-01-13,1,1,11,0,4,1,2,4,33,37,8.0,8.0,44.0,30.0
290,2011-01-13,1,1,12,0,4,1,1,3,49,52,8.0,8.0,44.0,28.0
291,2011-01-13,1,1,13,0,4,1,1,2,81,83,9.0,10.0,41.0,30.0
292,2011-01-13,1,1,14,0,4,1,1,3,39,42,9.0,10.0,41.0,26.0
293,2011-01-13,1,1,15,0,4,1,1,5,55,60,10.0,11.0,38.0,20.0
294,2011-01-13,1,1,16,0,4,1,1,2,76,78,10.0,11.0,38.0,24.0
295,2011-01-13,1,1,17,0,4,1,1,4,158,162,8.0,9.0,40.0,19.0
296,2011-01-13,1,1,18,0,4,1,1,3,141,144,8.0,9.0,40.0,22.0
297,2011-01-13,1,1,19,0,4,1,1,1,98,99,7.0,8.0,47.0,17.0
298,2011-01-13,1,1,20,0,4,1,1,0,64,64,7.0,8.0,47.0,15.0
299,2011-01-13,1,1,21,0,4,1,1,0,40,40,6.0,6.0,46.0,20.0
300,2011-01-13,1,1,22,0,4,1,1,0,30,30,6.0,6.0,46.0,22.0
301,2011-01-13,1,1,23,0,4,1,1,1,14,15,5.0,7.0,50.0,13.0
302,2011-01-14,1,1,0,0,5,1,1,0,14,14,5.0,7.0,50.0,13.0
303,2011-01-14,1,1,1,0,5,1,1,0,5,5,4.0,6.0,54.0,11.0
304,2011-01-14,1,1,2,0,5,1,1,0,1,1,4.0,6.0,54.0,9.0
305,2011-01-14,1,1,3,0,5,1,1,0,1,1,4.0,7.0,54.0,7.0
306,2011-01-14,1,1,5,0,5,1,1,0,8,8,4.0,7.0,54.0,6.0
307,2011-01-14,1,1,6,0,5,1,1,0,17,17,4.0,9.0,54.0,0.0
308,2011-01-14,1,1,7,0,5,1,1,0,70,70,4.0,6.0,74.0,11.0
